"","scen","range","pct","area.pct","Pothole"
"374","RetiredPothole","ten",0.2,1,"Bunny"
"375","Base","zero",1,0,"Walnut"
"376","ConTillDrain01","zero",1,0,"Walnut"
"377","ConTillDrain02","zero",1,0,"Walnut"
"378","ConTillDrain03","zero",1,0,"Walnut"
"379","ConTillRetired","zero",1,0,"Walnut"
"380","CoverCrop","zero",1,0,"Walnut"
"381","Drain0","zero",1,0,"Walnut"
"382","Drain01","zero",1,0,"Walnut"
"383","Drain02","zero",1,0,"Walnut"
"384","Drain03","zero",1,0,"Walnut"
"385","Drain0CT","zero",1,0,"Walnut"
"386","Drain0NT","zero",1,0,"Walnut"
"387","Drain1NT","zero",1,0,"Walnut"
"388","Drain1Retired","zero",1,0,"Walnut"
"389","Drain1RetiredAll","zero",1,0,"Walnut"
"390","Drain1RetiredCT","zero",1,0,"Walnut"
"391","Drain1RetiredNT","zero",1,0,"Walnut"
"392","Drain2NT","zero",1,0,"Walnut"
"393","Drain2Retired","zero",1,0,"Walnut"
"394","Drain2RetiredAll","zero",1,0,"Walnut"
"395","Drain2RetiredCT","zero",1,0,"Walnut"
"396","Drain2RetiredNT","zero",1,0,"Walnut"
"397","Drain3NT","zero",1,0,"Walnut"
"398","Drain3Retired","zero",1,0,"Walnut"
"399","Drain3RetiredAll","zero",1,0,"Walnut"
"400","Drain3RetiredCT","zero",1,0,"Walnut"
"401","Drain3RetiredNT","zero",1,0,"Walnut"
"402","NoTillRetired","zero",1,0,"Walnut"
"403","PlantDate01","zero",1,0,"Walnut"
"404","PlantDate02","zero",1,0,"Walnut"
"405","PlantDate03","zero",1,0,"Walnut"
"406","PlantDate04","zero",1,0,"Walnut"
"407","RetiredAll","zero",1,0,"Walnut"
"408","RetiredPothole","zero",1,0,"Walnut"
"409","Base","one",1,0.1,"Walnut"
"410","ConTillDrain01","one",1,0.1,"Walnut"
"411","ConTillDrain02","one",1,0.1,"Walnut"
"412","ConTillDrain03","one",0.96,0.1,"Walnut"
"413","ConTillRetired","one",1,0.1,"Walnut"
"414","CoverCrop","one",0.96,0.1,"Walnut"
"415","Drain0","one",1,0.1,"Walnut"
"416","Drain01","one",1,0.1,"Walnut"
"417","Drain02","one",1,0.1,"Walnut"
"418","Drain03","one",0.96,0.1,"Walnut"
"419","Drain0CT","one",1,0.1,"Walnut"
"420","Drain0NT","one",1,0.1,"Walnut"
"421","Drain1NT","one",1,0.1,"Walnut"
"422","Drain1Retired","one",1,0.1,"Walnut"
"423","Drain1RetiredAll","one",0.88,0.1,"Walnut"
"424","Drain1RetiredCT","one",1,0.1,"Walnut"
"425","Drain1RetiredNT","one",0.96,0.1,"Walnut"
"426","Drain2NT","one",1,0.1,"Walnut"
"427","Drain2Retired","one",1,0.1,"Walnut"
"428","Drain2RetiredAll","one",0.8,0.1,"Walnut"
"429","Drain2RetiredCT","one",0.96,0.1,"Walnut"
"430","Drain2RetiredNT","one",0.96,0.1,"Walnut"
"431","Drain3NT","one",0.96,0.1,"Walnut"
"432","Drain3Retired","one",0.96,0.1,"Walnut"
"433","Drain3RetiredAll","one",0.8,0.1,"Walnut"
"434","Drain3RetiredCT","one",0.96,0.1,"Walnut"
"435","Drain3RetiredNT","one",0.92,0.1,"Walnut"
"436","NoTillRetired","one",1,0.1,"Walnut"
"437","PlantDate01","one",1,0.1,"Walnut"
"438","PlantDate02","one",1,0.1,"Walnut"
"439","PlantDate03","one",1,0.1,"Walnut"
"440","PlantDate04","one",1,0.1,"Walnut"
"441","RetiredAll","one",0.92,0.1,"Walnut"
"442","RetiredPothole","one",1,0.1,"Walnut"
"443","Base","two",0.96,0.2,"Walnut"
"444","ConTillDrain01","two",1,0.2,"Walnut"
"445","ConTillDrain02","two",0.96,0.2,"Walnut"
"446","ConTillDrain03","two",0.92,0.2,"Walnut"
"447","ConTillRetired","two",1,0.2,"Walnut"
"448","CoverCrop","two",0.96,0.2,"Walnut"
"449","Drain0","two",1,0.2,"Walnut"
"450","Drain01","two",1,0.2,"Walnut"
"451","Drain02","two",0.96,0.2,"Walnut"
"452","Drain03","two",0.92,0.2,"Walnut"
"453","Drain0CT","two",1,0.2,"Walnut"
"454","Drain0NT","two",1,0.2,"Walnut"
"455","Drain1NT","two",1,0.2,"Walnut"
"456","Drain1Retired","two",1,0.2,"Walnut"
"457","Drain1RetiredAll","two",0.8,0.2,"Walnut"
"458","Drain1RetiredCT","two",0.96,0.2,"Walnut"
"459","Drain1RetiredNT","two",0.96,0.2,"Walnut"
"460","Drain2NT","two",0.96,0.2,"Walnut"
"461","Drain2Retired","two",0.96,0.2,"Walnut"
"462","Drain2RetiredAll","two",0.8,0.2,"Walnut"
"463","Drain2RetiredCT","two",0.96,0.2,"Walnut"
"464","Drain2RetiredNT","two",0.92,0.2,"Walnut"
